series_name,format,monster_real,monster_amount,suspects_amount,motive,monster_gender_group
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,0,Treasure,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Natural Resource,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Competition,Woman/Women
"Scooby Doo, Where Are You!",TV Series,False,1,2,Extortion,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Competition,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Safety,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Counterfeit,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Competition,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,3,1,Treasure,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,2,2,Theft,Both
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Competition,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,2,3,Inheritance,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,3,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,3,1,Smuggling,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Treasure,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,2,1,Theft,Both
"Scooby Doo, Where Are You!",TV Series,False,1,0,Smuggling,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,3,Theft,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,2,Natural Resource,Ambiguous
The New Scooby-Doo Movies,TV Series,False,2,1,Counterfeit,Man/Men
The New Scooby-Doo Movies,TV Series,False,1,2,Safety,Woman/Women
The New Scooby-Doo Movies,TV Series,False,1,4,Treasure,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,1,Inheritance,Man/Men
The New Scooby-Doo Movies,TV Series,False,3,4,Theft,Man/Men
The New Scooby-Doo Movies,TV Series,False,9,4,Preservation,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,2,Treasure,Man/Men
The New Scooby-Doo Movies,TV Series,False,7,2,Theft,Both
The New Scooby-Doo Movies,TV Series,False,1,4,Theft,Man/Men
The New Scooby-Doo Movies,TV Series,False,1,3,Competition,Man/Men
The New Scooby-Doo Movies,TV Series,False,4,1,Natural Resource,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,4,Competition,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,2,Theft,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,2,Theft,Man/Men
The New Scooby-Doo Movies,TV Series,False,4,4,Treasure,Man/Men
The New Scooby-Doo Movies,TV Series,False,3,2,Competition,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,3,Counterfeit,Man/Men
The New Scooby-Doo Movies,TV Series,True,1,3,Competition,Man/Men
The New Scooby-Doo Movies,TV Series,False,1,3,Competition,Man/Men
The New Scooby-Doo Movies,TV Series,False,8,1,Competition,Man/Men
The New Scooby-Doo Movies,TV Series,False,4,2,Competition,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,2,Smuggling,Man/Men
The New Scooby-Doo Movies,TV Series,False,1,0,Competition,Man/Men
The Scooby-Doo Show,TV Series,False,2,4,Theft,Both
"Dynomutt, Dogwonder",Crossover,True,1,2,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,2,4,Treasure,Man/Men
"Dynomutt, Dogwonder",Crossover,True,3,1,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,1,4,Competition,Man/Men
The Scooby-Doo Show,TV Series,False,1,3,Competition,Man/Men
The Scooby-Doo Show,TV Series,False,1,4,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,2,3,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,1,2,Smuggling,Man/Men
The Scooby-Doo Show,TV Series,False,2,5,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,3,5,Extortion,Both
The Scooby-Doo Show,TV Series,False,3,4,Theft,Man/Men
"Dynomutt, Dogwonder",Crossover,False,1,0,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,3,5,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,1,4,Smuggling,Man/Men
The Scooby-Doo Show,TV Series,False,3,2,Treasure,Man/Men
The Scooby-Doo Show,TV Series,False,1,6,Competition,Man/Men
The Scooby-Doo Show,TV Series,False,3,2,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,3,3,Counterfeit,Man/Men
The Scooby-Doo Show,TV Series,False,3,3,Natural Resource,Man/Men
The Scooby-Doo Show,TV Series,False,1,5,Competition,Man/Men
The Scooby-Doo Show,TV Series,False,1,2,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,1,6,Competition,Man/Men
The Scooby-Doo Show,TV Series,False,1,4,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,2,3,Smuggling,Both
The Scooby-Doo Show,TV Series,False,1,2,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,2,2,Smuggling,Man/Men
The Scooby-Doo Show,TV Series,False,3,1,Smuggling,Man/Men
The Scooby-Doo Show,TV Series,False,3,2,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,1,3,Natural Resource,Man/Men
The Scooby-Doo Show,TV Series,False,1,3,Inheritance,Woman/Women
The Scooby-Doo Show,TV Series,False,1,3,Treasure,Man/Men
The Scooby-Doo Show,TV Series,False,2,3,Smuggling,Both
The Scooby-Doo Show,TV Series,False,1,3,Smuggling,Man/Men
The Scooby-Doo Show,TV Series,False,1,4,Natural Resource,Man/Men
The Scooby-Doo Show,TV Series,False,1,3,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,1,4,Natural Resource,Man/Men
The Scooby-Doo Show,TV Series,False,1,6,Smuggling,Man/Men
The Scooby-Doo Show,TV Series,False,1,3,Theft,Man/Men
The Scooby-Doo Show,TV Series,False,1,4,Treasure,Man/Men
The Scooby-Doo Show,TV Series,False,1,5,Treasure,Man/Men
The Scooby-Doo Show,TV Series,False,2,4,Competition,Man/Men
The Scooby-Doo Show,TV Series,False,1,4,Smuggling,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,4,Competition,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,4,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,3,Smuggling,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,3,Competition,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,2,4,Smuggling,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,4,Natural Resource,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,3,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,4,Treasure,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,2,Treasure,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,3,Theft,Woman/Women
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,4,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,4,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,3,Treasure,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,4,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (first series),TV Series,False,1,3,Treasure,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,2,0,Experimentation,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,1,0,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Experimentation,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Assistance,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Abduction,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Food,Woman/Women
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Abduction,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,4,0,Imagination,Both
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,1,Competition,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,1,Loneliness,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,2,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,1,0,Imagination,Woman/Women
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Abduction,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Conquer,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,1,0,Imagination,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,1,Mistake,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,2,0,Assistance,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Conquer,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Trespassing,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Experimentation,Woman/Women
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,2,0,Imagination,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Automated,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Abduction,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,1,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,1,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,1,1,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,5,2,Production,Both
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,1,2,Theft,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Abduction,Woman/Women
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,3,0,Abduction,Both
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,1,1,Extortion,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,1,0,Theft,Woman/Women
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Abduction,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),True,1,0,Food,Man/Men
Scooby-Doo and Scrappy-Doo (second series),TV Series (segmented),False,1,1,Inheritance,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,2,Theft,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,2,2,Treasure,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),True,6,0,Trespassing,Both
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,4,Theft,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,2,Inheritance,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,1,Treasure,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,3,Theft,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,3,Theft,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,2,2,Smuggling,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,4,3,Natural Resource,Both
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,3,Natural Resource,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),True,2,1,Competition,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,3,Competition,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,3,Theft,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,2,Treasure,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,4,Competition,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,5,Competition,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,3,Competition,Man/Men
The New Scooby and Scrappy Doo Show,TV Series (segmented),True,4,1,Experimentation,Both
The New Scooby and Scrappy Doo Show,TV Series (segmented),False,1,3,Competition,Man/Men
The New Scooby and Scrappy Doo Show,TV Series,False,1,4,Smuggling,Man/Men
The New Scooby and Scrappy Doo Show,TV Series,False,1,7,Treasure,Man/Men
The New Scooby-Doo Mysteries,TV Series,False,1,4,Theft,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,3,Theft,Woman/Women
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,5,Theft,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,2,3,Natural Resource,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,4,Treasure,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,3,Conquer,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,3,Competition,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,3,Theft,Man/Men
The New Scooby-Doo Mysteries,TV Series,False,4,4,Treasure,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,3,Treasure,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,4,Competition,Man/Men
The New Scooby-Doo Mysteries,TV Series,False,1,4,Theft,Man/Men
The New Scooby-Doo Mysteries,TV Series,False,4,6,Theft,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,3,Treasure,Man/Men
The New Scooby-Doo Mysteries,TV Series,False,1,6,Theft,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,4,Theft,Man/Men
The New Scooby-Doo Mysteries,TV Series (segmented),False,1,4,Competition,Man/Men
The New Scooby-Doo Mysteries,TV Series,False,1,5,Treasure,Man/Men
The 13 Ghosts of Scooby-Doo,TV Series,True,5,2,Assistance,Both
The 13 Ghosts of Scooby-Doo,TV Series,True,6,2,Conquer,Man/Men
The 13 Ghosts of Scooby-Doo,TV Series,True,2,2,Conquer,Both
The 13 Ghosts of Scooby-Doo,TV Series,True,3,4,Conquer,Man/Men
The 13 Ghosts of Scooby-Doo,TV Series,True,2,2,Conquer,Both
The 13 Ghosts of Scooby-Doo,TV Series,True,4,2,Conquer,Man/Men
The 13 Ghosts of Scooby-Doo,TV Series,True,3,1,Conquer,Both
The 13 Ghosts of Scooby-Doo,TV Series,True,4,1,Conquer,Woman/Women
The 13 Ghosts of Scooby-Doo,TV Series,True,3,1,Conquer,Man/Men
The 13 Ghosts of Scooby-Doo,TV Series,True,3,3,Conquer,Man/Men
The 13 Ghosts of Scooby-Doo,TV Series,True,5,2,Conquer,Man/Men
The 13 Ghosts of Scooby-Doo,TV Series,True,3,1,Conquer,Man/Men
The 13 Ghosts of Scooby-Doo,TV Series,True,7,1,Conquer,Man/Men
Hanna-Barbera Superstars 10,Movie,False,4,4,Treasure,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,2,Counterfeit,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,2,Theft,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,3,Theft,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,3,Competition,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,4,Competition,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,2,Theft,Man/Men
Hanna-Barbera Superstars 10,Movie,True,4,17,Abduction,Both
A Pup Named Scooby-Doo,TV Series,False,1,3,Natural Resource,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,3,Theft,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,3,Smuggling,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,5,Competition,Man/Men
Hanna-Barbera Superstars 10,Movie,True,19,0,Competition,Both
A Pup Named Scooby-Doo,TV Series,False,1,3,Competition,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,3,Theft,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,3,Theft,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,3,Theft,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,4,Theft,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,4,Theft,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,4,Smuggling,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,4,Competition,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,5,Competition,Man/Men
A Pup Named Scooby-Doo,TV Series,False,1,5,Competition,Man/Men
A Pup Named Scooby-Doo,TV Series (segmented),False,1,2,Assistance,Man/Men
